pattern_ud;tp;fp;fn;precision;recall;f1
verb+obj;101;28;0;0.7829457364341085;1.0;0.8782608695652173
verb+obj[+obl];19;17;0;0.5277777777777778;1.0;0.6909090909090909
verb+obj[coord];10;9;0;0.5263157894736842;1.0;0.6896551724137931
verb+obl;22;24;0;0.4782608695652174;1.0;0.6470588235294118
cop;51;62;0;0.45132743362831856;1.0;0.6219512195121951
modal+verb;3;4;0;0.42857142857142855;1.0;0.6
aux:pass;17;28;0;0.37777777777777777;1.0;0.5483870967741935
verb+xcomp;13;30;0;0.3023255813953488;1.0;0.46428571428571425
verb+obj[conj];3;15;0;0.16666666666666666;1.0;0.2857142857142857
verb+ccomp;4;21;0;0.16;1.0;0.2758620689655173
verb+nary-split;10;68;0;0.1282051282051282;1.0;0.22727272727272727
unknown;0;0;174;0.0;0.0;0.0
