pattern_ud;rule;n;passed;failed;pass_rate
aux:pass;rule_E1;45;45;0;1.0
aux:pass;rule_E2;45;45;0;1.0
aux:pass;rule_E4;45;45;0;1.0
aux:pass;rule_E4_1;45;45;0;1.0
aux:pass;rule_E4_2;45;45;0;1.0
aux:pass;rule_E5;45;45;0;1.0
aux:pass;rule_E6;45;45;0;1.0
aux:pass;rule_E7;45;45;0;1.0
aux:pass;rule_E8;45;45;0;1.0
aux:pass;rule_E9;45;45;0;1.0
aux:pass;rule_S1;45;45;0;1.0
aux:pass;rule_S2;45;45;0;1.0
aux:pass;rule_S3;45;45;0;1.0
aux:pass;rule_S4;45;45;0;1.0
aux:pass;rule_S5;45;45;0;1.0
cop;rule_E1;113;113;0;1.0
cop;rule_E2;113;113;0;1.0
cop;rule_E4;113;113;0;1.0
cop;rule_E4_1;113;113;0;1.0
cop;rule_E4_2;113;113;0;1.0
cop;rule_E5;113;113;0;1.0
cop;rule_E6;113;113;0;1.0
cop;rule_E7;113;113;0;1.0
cop;rule_E8;113;113;0;1.0
cop;rule_E9;113;113;0;1.0
cop;rule_S1;113;113;0;1.0
cop;rule_S2;113;113;0;1.0
cop;rule_S3;113;113;0;1.0
cop;rule_S4;113;113;0;1.0
cop;rule_S5;113;113;0;1.0
modal+verb;rule_E1;7;7;0;1.0
modal+verb;rule_E2;7;7;0;1.0
modal+verb;rule_E4;7;7;0;1.0
modal+verb;rule_E4_1;7;7;0;1.0
modal+verb;rule_E4_2;7;7;0;1.0
modal+verb;rule_E5;7;7;0;1.0
modal+verb;rule_E6;7;7;0;1.0
modal+verb;rule_E7;7;7;0;1.0
modal+verb;rule_E8;7;7;0;1.0
modal+verb;rule_E9;7;7;0;1.0
modal+verb;rule_S1;7;7;0;1.0
modal+verb;rule_S2;7;7;0;1.0
modal+verb;rule_S3;7;7;0;1.0
modal+verb;rule_S4;7;7;0;1.0
modal+verb;rule_S5;7;7;0;1.0
verb+ccomp;rule_E1;25;25;0;1.0
verb+ccomp;rule_E2;25;25;0;1.0
verb+ccomp;rule_E4;25;25;0;1.0
verb+ccomp;rule_E4_1;25;25;0;1.0
verb+ccomp;rule_E4_2;25;25;0;1.0
verb+ccomp;rule_E5;25;25;0;1.0
verb+ccomp;rule_E6;25;25;0;1.0
verb+ccomp;rule_E7;25;25;0;1.0
verb+ccomp;rule_E8;25;25;0;1.0
verb+ccomp;rule_E9;25;25;0;1.0
verb+ccomp;rule_S1;25;25;0;1.0
verb+ccomp;rule_S2;25;25;0;1.0
verb+ccomp;rule_S3;25;25;0;1.0
verb+ccomp;rule_S4;25;25;0;1.0
verb+ccomp;rule_S5;25;25;0;1.0
verb+nary-split;rule_E1;78;78;0;1.0
verb+nary-split;rule_E2;78;78;0;1.0
verb+nary-split;rule_E4;78;78;0;1.0
verb+nary-split;rule_E4_1;78;78;0;1.0
verb+nary-split;rule_E4_2;78;78;0;1.0
verb+nary-split;rule_E5;78;78;0;1.0
verb+nary-split;rule_E6;78;78;0;1.0
verb+nary-split;rule_E7;78;78;0;1.0
verb+nary-split;rule_E8;78;78;0;1.0
verb+nary-split;rule_E9;78;78;0;1.0
verb+nary-split;rule_S1;78;78;0;1.0
verb+nary-split;rule_S2;78;78;0;1.0
verb+nary-split;rule_S3;78;78;0;1.0
verb+nary-split;rule_S4;78;78;0;1.0
verb+nary-split;rule_S5;78;78;0;1.0
verb+obj;rule_E1;129;129;0;1.0
verb+obj;rule_E2;129;129;0;1.0
verb+obj;rule_E4;129;129;0;1.0
verb+obj;rule_E4_1;129;129;0;1.0
verb+obj;rule_E4_2;129;129;0;1.0
verb+obj;rule_E5;129;129;0;1.0
verb+obj;rule_E6;129;129;0;1.0
verb+obj;rule_E7;129;129;0;1.0
verb+obj;rule_E8;129;129;0;1.0
verb+obj;rule_E9;129;129;0;1.0
verb+obj;rule_S1;129;129;0;1.0
verb+obj;rule_S2;129;129;0;1.0
verb+obj;rule_S3;129;129;0;1.0
verb+obj;rule_S4;129;129;0;1.0
verb+obj;rule_S5;129;129;0;1.0
verb+obj[+obl];rule_E1;36;36;0;1.0
verb+obj[+obl];rule_E2;36;36;0;1.0
verb+obj[+obl];rule_E4;36;36;0;1.0
verb+obj[+obl];rule_E4_1;36;36;0;1.0
verb+obj[+obl];rule_E4_2;36;36;0;1.0
verb+obj[+obl];rule_E5;36;36;0;1.0
verb+obj[+obl];rule_E6;36;36;0;1.0
verb+obj[+obl];rule_E7;36;36;0;1.0
verb+obj[+obl];rule_E8;36;36;0;1.0
verb+obj[+obl];rule_E9;36;36;0;1.0
verb+obj[+obl];rule_S1;36;36;0;1.0
verb+obj[+obl];rule_S2;36;36;0;1.0
verb+obj[+obl];rule_S3;36;19;17;0.5277777777777778
verb+obj[+obl];rule_S4;36;36;0;1.0
verb+obj[+obl];rule_S5;36;36;0;1.0
verb+obj[conj];rule_E1;18;18;0;1.0
verb+obj[conj];rule_E2;18;18;0;1.0
verb+obj[conj];rule_E4;18;18;0;1.0
verb+obj[conj];rule_E4_1;18;18;0;1.0
verb+obj[conj];rule_E4_2;18;18;0;1.0
verb+obj[conj];rule_E5;18;18;0;1.0
verb+obj[conj];rule_E6;18;18;0;1.0
verb+obj[conj];rule_E7;18;18;0;1.0
verb+obj[conj];rule_E8;18;18;0;1.0
verb+obj[conj];rule_E9;18;18;0;1.0
verb+obj[conj];rule_S1;18;18;0;1.0
verb+obj[conj];rule_S2;18;18;0;1.0
verb+obj[conj];rule_S3;18;18;0;1.0
verb+obj[conj];rule_S4;18;18;0;1.0
verb+obj[conj];rule_S5;18;18;0;1.0
verb+obj[coord];rule_E1;19;19;0;1.0
verb+obj[coord];rule_E2;19;19;0;1.0
verb+obj[coord];rule_E4;19;19;0;1.0
verb+obj[coord];rule_E4_1;19;19;0;1.0
verb+obj[coord];rule_E4_2;19;19;0;1.0
verb+obj[coord];rule_E5;19;19;0;1.0
verb+obj[coord];rule_E6;19;19;0;1.0
verb+obj[coord];rule_E7;19;19;0;1.0
verb+obj[coord];rule_E8;19;19;0;1.0
verb+obj[coord];rule_E9;19;19;0;1.0
verb+obj[coord];rule_S1;19;19;0;1.0
verb+obj[coord];rule_S2;19;19;0;1.0
verb+obj[coord];rule_S3;19;19;0;1.0
verb+obj[coord];rule_S4;19;19;0;1.0
verb+obj[coord];rule_S5;19;19;0;1.0
verb+obl;rule_E1;46;46;0;1.0
verb+obl;rule_E2;46;46;0;1.0
verb+obl;rule_E4;46;46;0;1.0
verb+obl;rule_E4_1;46;46;0;1.0
verb+obl;rule_E4_2;46;46;0;1.0
verb+obl;rule_E5;46;46;0;1.0
verb+obl;rule_E6;46;46;0;1.0
verb+obl;rule_E7;46;46;0;1.0
verb+obl;rule_E8;46;46;0;1.0
verb+obl;rule_E9;46;46;0;1.0
verb+obl;rule_S1;46;46;0;1.0
verb+obl;rule_S2;46;46;0;1.0
verb+obl;rule_S3;46;46;0;1.0
verb+obl;rule_S4;46;46;0;1.0
verb+obl;rule_S5;46;46;0;1.0
verb+xcomp;rule_E1;43;43;0;1.0
verb+xcomp;rule_E2;43;43;0;1.0
verb+xcomp;rule_E4;43;43;0;1.0
verb+xcomp;rule_E4_1;43;43;0;1.0
verb+xcomp;rule_E4_2;43;43;0;1.0
verb+xcomp;rule_E5;43;43;0;1.0
verb+xcomp;rule_E6;43;43;0;1.0
verb+xcomp;rule_E7;43;43;0;1.0
verb+xcomp;rule_E8;43;43;0;1.0
verb+xcomp;rule_E9;43;43;0;1.0
verb+xcomp;rule_S1;43;43;0;1.0
verb+xcomp;rule_S2;43;43;0;1.0
verb+xcomp;rule_S3;43;43;0;1.0
verb+xcomp;rule_S4;43;43;0;1.0
verb+xcomp;rule_S5;43;43;0;1.0
