label;status;source;tp;fp;fn;precision;recall;f1;no_attn;theory_mode;apply_theoretical_rules;cop_mode;extract_cop;attn_threshold;attn_decision_enabled;attn_rerank_enabled;heads_mode;top_k_heads;metrics_path;error;delta_f1_vs_baseline
rq1_baseline_ud_puro;ok;fresh;272;333;155;0.44958677685950416;0.6370023419203747;0.5271317829457365;True;off;False;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq1_baseline_ud_puro/bia_abl_rq1_baseline_ud_puro_metrics.json;;0.0
rq2_cop_full;ok;fresh;272;333;155;0.44958677685950416;0.6370023419203747;0.5271317829457365;True;off;False;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq2_cop_full/bia_abl_rq2_cop_full_metrics.json;;0.0
rq2_cop_restricted;ok;fresh;214;259;213;0.452431289640592;0.5011709601873536;0.47555555555555556;True;off;False;restricted;True;0.0;True;True;rank;10;ablation_experiments/abl_rq2_cop_restricted/bia_abl_rq2_cop_restricted_metrics.json;;-0.0516
rq2_cop_off;ok;fresh;212;255;215;0.4539614561027837;0.4964871194379391;0.4742729306487696;True;off;False;off;False;0.0;True;True;rank;10;ablation_experiments/abl_rq2_cop_off/bia_abl_rq2_cop_off_metrics.json;;-0.0529
rq3_attn_on_thr0;ok;fresh;265;273;162;0.49256505576208176;0.6206088992974239;0.5492227979274612;False;off;False;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq3_attn_on_thr0/bia_abl_rq3_attn_on_thr0_metrics.json;;0.0221
rq3_attn_on_thr15;ok;fresh;265;273;162;0.49256505576208176;0.6206088992974239;0.5492227979274612;False;off;False;full;True;0.15;True;True;rank;10;ablation_experiments/abl_rq3_attn_on_thr15/bia_abl_rq3_attn_on_thr15_metrics.json;;0.0221
rq4_theory_all_on;ok;fresh;253;306;174;0.4525939177101968;0.5925058548009368;0.513184584178499;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq4_theory_all_on/bia_abl_rq4_theory_all_on_metrics.json;;-0.0139
rq5_only_E;ok;fresh;253;307;174;0.4517857142857143;0.5925058548009368;0.5126646403242149;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq5_only_E/bia_abl_rq5_only_E_metrics.json;;-0.0145
rq5_only_S;ok;fresh;267;326;160;0.4502529510961214;0.6252927400468384;0.5235294117647059;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq5_only_S/bia_abl_rq5_only_S_metrics.json;;-0.0036
rq6_no_S1;ok;fresh;253;307;174;0.4517857142857143;0.5925058548009368;0.5126646403242149;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6_no_S1/bia_abl_rq6_no_S1_metrics.json;;-0.0145
rq6_no_S2;ok;fresh;253;306;174;0.4525939177101968;0.5925058548009368;0.513184584178499;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6_no_S2/bia_abl_rq6_no_S2_metrics.json;;-0.0139
rq6_no_S3;ok;fresh;253;306;174;0.4525939177101968;0.5925058548009368;0.513184584178499;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6_no_S3/bia_abl_rq6_no_S3_metrics.json;;-0.0139
rq6_no_S4;ok;fresh;253;306;174;0.4525939177101968;0.5925058548009368;0.513184584178499;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6_no_S4/bia_abl_rq6_no_S4_metrics.json;;-0.0139
rq6_no_S5;ok;fresh;253;306;174;0.4525939177101968;0.5925058548009368;0.513184584178499;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6_no_S5/bia_abl_rq6_no_S5_metrics.json;;-0.0139
rq6b_no_E1;ok;fresh;254;307;173;0.45276292335115864;0.594847775175644;0.5141700404858299;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6b_no_E1/bia_abl_rq6b_no_E1_metrics.json;;-0.013
rq6b_no_E2;ok;fresh;253;306;174;0.4525939177101968;0.5925058548009368;0.513184584178499;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6b_no_E2/bia_abl_rq6b_no_E2_metrics.json;;-0.0139
rq6b_no_E3;ok;fresh;253;306;174;0.4525939177101968;0.5925058548009368;0.513184584178499;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6b_no_E3/bia_abl_rq6b_no_E3_metrics.json;;-0.0139
rq6b_no_E4;ok;fresh;266;325;161;0.4500846023688663;0.6229508196721312;0.5225933202357564;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6b_no_E4/bia_abl_rq6b_no_E4_metrics.json;;-0.0045
rq6b_no_E4_1;ok;fresh;253;306;174;0.4525939177101968;0.5925058548009368;0.513184584178499;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6b_no_E4_1/bia_abl_rq6b_no_E4_1_metrics.json;;-0.0139
rq6b_no_E4_2;ok;fresh;253;306;174;0.4525939177101968;0.5925058548009368;0.513184584178499;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6b_no_E4_2/bia_abl_rq6b_no_E4_2_metrics.json;;-0.0139
rq6b_no_E5;ok;fresh;253;306;174;0.4525939177101968;0.5925058548009368;0.513184584178499;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6b_no_E5/bia_abl_rq6b_no_E5_metrics.json;;-0.0139
rq6b_no_E6;ok;fresh;253;306;174;0.4525939177101968;0.5925058548009368;0.513184584178499;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6b_no_E6/bia_abl_rq6b_no_E6_metrics.json;;-0.0139
rq6b_no_E7;ok;fresh;253;306;174;0.4525939177101968;0.5925058548009368;0.513184584178499;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6b_no_E7/bia_abl_rq6b_no_E7_metrics.json;;-0.0139
rq6b_no_E8;ok;fresh;253;306;174;0.4525939177101968;0.5925058548009368;0.513184584178499;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6b_no_E8/bia_abl_rq6b_no_E8_metrics.json;;-0.0139
rq6b_no_E9;ok;fresh;253;306;174;0.4525939177101968;0.5925058548009368;0.513184584178499;True;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq6b_no_E9/bia_abl_rq6b_no_E9_metrics.json;;-0.0139
rq8_best_config_no_E4;ok;fresh;260;269;167;0.4914933837429111;0.6088992974238876;0.5439330543933054;False;filter;True;full;True;0.0;True;True;rank;10;ablation_experiments/abl_rq8_best_config_no_E4/bia_abl_rq8_best_config_no_E4_metrics.json;;0.0168
